競賽場, 競賽類型, 警報, 剩余数, 最大空格, 比率, 出現回数
27_組合(津三琵尼鳴児)-11R, 三連単, 6  1  4, 2839, 3001, 0.946, 25
34_大组(戸江平多浜常津三琵尼鳴児)-10R, 三連単, 6  1  5, 3184, 3285, 0.969, 55
27_組合(津三琵尼鳴児)-01R, 二連単, 6  2, 1192, 1306, 0.913, 82
20_若　松-12R, 二連単, 6  2, 1360, 1306, 1.041, 9
27_組合(津三琵尼鳴児)-12R, 二連単, 6  2, 1434, 1306, 1.098, 44
32_大组(桐蒲住丸若津三琵尼鳴児)-01R, 三連単, 6  2  1, 2771, 2406, 1.152, 53
27_組合(津三琵尼鳴児)-12R, 三連単, 6  2  1, 3066, 2406, 1.274, 17
32_大组(桐蒲住丸若津三琵尼鳴児)-12R, 三連単, 6  2  1, 3035, 2406, 1.261, 34
31_大组(桐蒲住丸若戸江平多浜常)-09R, 三連単, 6  2  3, 2741, 3424, 0.801, 51
34_大组(戸江平多浜常津三琵尼鳴児)-11R, 三連単, 6  2  3, 3248, 3424, 0.949, 33
28_組合(宮徳下芦福唐大)-01R, 三連単, 6  2  4, 2746, 3094, 0.888, 12
30_組合(全天)-01R, 三連単, 6  2  4, 2886, 3094, 0.933, 90
36_大组(津三琵尼鳴児宮徳下芦福唐大)-01R, 三連単, 6  2  4, 2593, 3094, 0.838, 36
36_大组(津三琵尼鳴児宮徳下芦福唐大)-02R, 三連単, 6  2  4, 2516, 3094, 0.813, 56
26_組合(戸江平多浜常)-11R, 三連単, 6  2  4, 2523, 3094, 0.815, 14
28_組合(宮徳下芦福唐大)-11R, 三連単, 6  2  4, 2573, 3094, 0.832, 23
35_大组(戸江平多浜常宮徳下芦福唐大)-11R, 三連単, 6  2  4, 4764, 3094, 1.54, 37
27_組合(津三琵尼鳴児)-12R, 三連単, 6  2  4, 2634, 3094, 0.851, 10
34_大组(戸江平多浜常津三琵尼鳴児)-12R, 三連単, 6  2  4, 2648, 3094, 0.856, 27
36_大组(津三琵尼鳴児宮徳下芦福唐大)-01R, 三連単, 6  2  5, 4275, 4305, 0.993, 30
25_組合(桐蒲住丸若)-08R, 三連単, 6  2  5, 4422, 4305, 1.027, 17
33_大组(桐蒲住丸若宮徳下芦福唐大)-08R, 三連単, 6  2  5, 4592, 4305, 1.067, 49
31_大组(桐蒲住丸若戸江平多浜常)-10R, 三連単, 6  2  5, 4040, 4305, 0.938, 33
28_組合(宮徳下芦福唐大)-11R, 三連単, 6  2  5, 3951, 4305, 0.918, 8
33_大组(桐蒲住丸若宮徳下芦福唐大)-11R, 三連単, 6  2  5, 6240, 4305, 1.449, 19
36_大组(津三琵尼鳴児宮徳下芦福唐大)-11R, 三連単, 6  2  5, 3527, 4305, 0.819, 19
25_組合(桐蒲住丸若)-12R, 三連単, 6  2  5, 4211, 4305, 0.978, 8
26_組合(戸江平多浜常)-12R, 三連単, 6  2  5, 4920, 4305, 1.143, 9
28_組合(宮徳下芦福唐大)-12R, 三連単, 6  2  5, 4155, 4305, 0.965, 9
29_組合(半天)-12R, 三連単, 6  2  5, 6561, 4305, 1.524, 29
30_組合(全天)-12R, 三連単, 6  2  5, 7902, 4305, 1.836, 34
31_大组(桐蒲住丸若戸江平多浜常)-12R, 三連単, 6  2  5, 9108, 4305, 2.116, 17
32_大组(桐蒲住丸若津三琵尼鳴児)-12R, 三連単, 6  2  5, 3613, 4305, 0.839, 16
33_大组(桐蒲住丸若宮徳下芦福唐大)-12R, 三連単, 6  2  5, 7133, 4305, 1.657, 17
34_大组(戸江平多浜常津三琵尼鳴児)-12R, 三連単, 6  2  5, 3923, 4305, 0.911, 17
35_大组(戸江平多浜常宮徳下芦福唐大)-12R, 三連単, 6  2  5, 7669, 4305, 1.781, 18
36_大组(津三琵尼鳴児宮徳下芦福唐大)-12R, 三連単, 6  2  5, 4264, 4305, 0.99, 17
18_徳　山-01R, 二連単, 6  3, 1711, 1104, 1.55, 5
11_琵琶湖-05R, 二連単, 6  3, 1537, 1104, 1.392, 6
20_若　松-05R, 二連単, 6  3, 1144, 1104, 1.036, 16
36_大组(津三琵尼鳴児宮徳下芦福唐大)-05R, 二連単, 6  3, 1067, 1104, 0.966, 193
01_桐　生-08R, 二連単, 6  3, 1061, 1104, 0.961, 18
15_丸　亀-08R, 二連単, 6  3, 1103, 1104, 0.999, 9
22_福　岡-08R, 二連単, 6  3, 1066, 1104, 0.966, 15
16_児　島-09R, 二連単, 6  3, 1420, 1104, 1.286, 8
16_児　島-11R, 二連単, 6  3, 993, 1104, 0.899, 5
31_大组(桐蒲住丸若戸江平多浜常)-11R, 二連単, 6  3, 1410, 1104, 1.277, 112
18_徳　山-12R, 二連単, 6  3, 1351, 1104, 1.224, 3
28_組合(宮徳下芦福唐大)-12R, 二連単, 6  3, 1051, 1104, 0.952, 50
36_大组(津三琵尼鳴児宮徳下芦福唐大)-12R, 二連単, 6  3, 944, 1104, 0.855, 93
29_組合(半天)-12R, 三連単, 6  3  1, 3141, 3200, 0.982, 45
27_組合(津三琵尼鳴児)-05R, 三連単, 6  3  2, 3940, 4910, 0.802, 29
31_大组(桐蒲住丸若戸江平多浜常)-11R, 三連単, 6  3  2, 4274, 4910, 0.87, 25
32_大组(桐蒲住丸若津三琵尼鳴児)-11R, 三連単, 6  3  2, 4213, 4910, 0.858, 22
34_大组(戸江平多浜常津三琵尼鳴児)-11R, 三連単, 6  3  2, 4574, 4910, 0.932, 31
29_組合(半天)-12R, 三連単, 6  3  2, 4093, 4910, 0.834, 29
30_組合(全天)-12R, 三連単, 6  3  2, 4925, 4910, 1.003, 32
32_大组(桐蒲住丸若津三琵尼鳴児)-12R, 三連単, 6  3  2, 4257, 4910, 0.867, 12
33_大组(桐蒲住丸若宮徳下芦福唐大)-12R, 三連単, 6  3  2, 4365, 4910, 0.889, 14
36_大组(津三琵尼鳴児宮徳下芦福唐大)-12R, 三連単, 6  3  2, 4683, 4910, 0.954, 18
36_大组(津三琵尼鳴児宮徳下芦福唐大)-05R, 三連単, 6  3  4, 2915, 3599, 0.81, 46
27_組合(津三琵尼鳴児)-09R, 三連単, 6  3  4, 3217, 3599, 0.894, 14
25_組合(桐蒲住丸若)-10R, 三連単, 6  3  4, 4877, 3599, 1.355, 9
33_大组(桐蒲住丸若宮徳下芦福唐大)-10R, 三連単, 6  3  4, 4227, 3599, 1.174, 23
28_組合(宮徳下芦福唐大)-11R, 三連単, 6  3  4, 3615, 3599, 1.004, 11
30_組合(全天)-11R, 三連単, 6  3  4, 3327, 3599, 0.924, 50
32_大组(桐蒲住丸若津三琵尼鳴児)-11R, 三連単, 6  3  4, 3111, 3599, 0.864, 24
33_大组(桐蒲住丸若宮徳下芦福唐大)-11R, 三連単, 6  3  4, 3419, 3599, 0.95, 23
36_大组(津三琵尼鳴児宮徳下芦福唐大)-11R, 三連単, 6  3  4, 4840, 3599, 1.345, 23
25_組合(桐蒲住丸若)-01R, 三連単, 6  3  5, 4404, 4144, 1.063, 12
30_組合(全天)-01R, 三連単, 6  3  5, 3637, 4144, 0.878, 61
33_大组(桐蒲住丸若宮徳下芦福唐大)-01R, 三連単, 6  3  5, 3588, 4144, 0.866, 24
27_組合(津三琵尼鳴児)-05R, 三連単, 6  3  5, 3948, 4144, 0.953, 17
32_大组(桐蒲住丸若津三琵尼鳴児)-05R, 三連単, 6  3  5, 5463, 4144, 1.318, 36
28_組合(宮徳下芦福唐大)-11R, 三連単, 6  3  5, 3388, 4144, 0.818, 10
36_大组(津三琵尼鳴児宮徳下芦福唐大)-11R, 三連単, 6  3  5, 3448, 4144, 0.832, 26
27_組合(津三琵尼鳴児)-12R, 三連単, 6  3  5, 3801, 4144, 0.917, 7
30_組合(全天)-12R, 三連単, 6  3  5, 3565, 4144, 0.86, 39
10_三　国-01R, 二連単, 6  4, 1588, 1295, 1.226, 4
18_徳　山-01R, 二連単, 6  4, 1320, 1295, 1.019, 7
23_唐　津-03R, 二連単, 6  4, 1138, 1295, 0.879, 6
11_琵琶湖-05R, 二連単, 6  4, 1347, 1295, 1.04, 2
36_大组(津三琵尼鳴児宮徳下芦福唐大)-05R, 二連単, 6  4, 1321, 1295, 1.02, 189
07_蒲　郡-10R, 二連単, 6  4, 1053, 1295, 0.813, 4
29_組合(半天)-10R, 二連単, 6  4, 1301, 1295, 1.005, 242
22_福　岡-11R, 二連単, 6  4, 1050, 1295, 0.811, 2
32_大组(桐蒲住丸若津三琵尼鳴児)-11R, 三連単, 6  4  1, 4626, 4556, 1.015, 28
33_大组(桐蒲住丸若宮徳下芦福唐大)-01R, 三連単, 6  4  2, 3983, 3455, 1.153, 30
33_大组(桐蒲住丸若宮徳下芦福唐大)-09R, 三連単, 6  4  2, 2881, 3455, 0.834, 53
27_組合(津三琵尼鳴児)-10R, 三連単, 6  4  2, 3486, 3455, 1.009, 16
30_組合(全天)-10R, 三連単, 6  4  2, 2942, 3455, 0.852, 63
32_大组(桐蒲住丸若津三琵尼鳴児)-10R, 三連単, 6  4  2, 4030, 3455, 1.166, 28
27_組合(津三琵尼鳴児)-12R, 三連単, 6  4  2, 6526, 3455, 1.889, 4
34_大组(戸江平多浜常津三琵尼鳴児)-12R, 三連単, 6  4  2, 4493, 3455, 1.3, 18
28_組合(宮徳下芦福唐大)-01R, 三連単, 6  4  3, 3498, 3949, 0.886, 10
32_大组(桐蒲住丸若津三琵尼鳴児)-11R, 三連単, 6  4  3, 3609, 3949, 0.914, 17
33_大组(桐蒲住丸若宮徳下芦福唐大)-11R, 三連単, 6  4  3, 4948, 3949, 1.253, 21
36_大组(津三琵尼鳴児宮徳下芦福唐大)-11R, 三連単, 6  4  3, 4258, 3949, 1.078, 20
33_大组(桐蒲住丸若宮徳下芦福唐大)-12R, 三連単, 6  4  3, 3406, 3949, 0.862, 19
36_大组(津三琵尼鳴児宮徳下芦福唐大)-12R, 三連単, 6  4  3, 5397, 3949, 1.367, 20
27_組合(津三琵尼鳴児)-01R, 三連単, 6  4  5, 4582, 4411, 1.039, 10
28_組合(宮徳下芦福唐大)-09R, 三連単, 6  4  5, 4604, 4411, 1.044, 20
33_大组(桐蒲住丸若宮徳下芦福唐大)-09R, 三連単, 6  4  5, 6527, 4411, 1.48, 37
27_組合(津三琵尼鳴児)-12R, 三連単, 6  4  5, 5215, 4411, 1.182, 6
28_組合(宮徳下芦福唐大)-07R, 二連単, 6  5, 2366, 2689, 0.88, 91
33_大组(桐蒲住丸若宮徳下芦福唐大)-07R, 三連単, 6  5  1, 4068, 4597, 0.885, 43
29_組合(半天)-10R, 三連単, 6  5  3, 6567, 6658, 0.986, 37
30_組合(全天)-10R, 三連単, 6  5  3, 7910, 6658, 1.188, 47
33_大组(桐蒲住丸若宮徳下芦福唐大)-10R, 三連単, 6  5  3, 7443, 6658, 1.118, 25
27_組合(津三琵尼鳴児)-01R, 三連単, 6  5  4, 4835, 5644, 0.857, 13
33_大组(桐蒲住丸若宮徳下芦福唐大)-10R, 三連単, 6  5  4, 5312, 5644, 0.941, 34
25_組合(桐蒲住丸若)-11R, 三連単, 6  5  4, 4809, 5644, 0.852, 6
